Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
30,2fea2fed-86d3-4875-8a1b-756a1efe6633,Samuel Pianeta,https://play-lh.googleusercontent.com/a/AGNmyxZWToBe8IfT-AKyF8KVh0q8DhloyGpq_Gy7i1e6=mo,"Amo está aplicación, quiero agradecer a las personas que hacen posible que la educación sea gratuita ya que es una esperanza para los que no podemos costear una universidad. P.D Deben aplicar más de un idioma aparte del inglés",5,5,3.3.1,2021-12-12 21:45:29,"Hey Samue,
Thanks for taking out the time to leave us a review. We appreciate your thoughts. It really helps us to keep going and deliver the best app for learning Python. We'll take your suggestion into consideration in future iterations of our app.
:)",2021-12-16 04:48:47,3.3.1,es,POS,amo esta aplicacion quiero agradecer las personas que hacen posible que la educacion sea gratuita ya que es una esperanza para los que podemos costear una universidad pd deben aplicar mas de un idioma aparte del ingles,"avatar, status quo sloth","person, person"
45,0af82f30-3bd3-4cbd-8375-25bae325f74c,Reinaldo Ybarra,https://play-lh.googleusercontent.com/a-/ACB-R5SuVF3rOnU-rt_5JGClTM8oyE8MYVBv0G25XrnUOw,Muy buena la App Pero para mi en lo personal Debería tener distintos idiomas No siempre debe ser en inglés Pero de resto está muy buena,5,4,2.5.2,2020-07-21 16:18:41,"Hey Reinaldo,

Thank you for your valuable feedback. We'll take your suggestion to add other languages too into consideration in future iterations of our app.",2020-08-03 03:53:52,2.5.2,es,POS,muy buena la app pero para mi en lo personal deberia tener distintos idiomas siempre debe ser en ingles pero de resto esta muy buena,"avatar, status quo sloth","person, person"
